"x","y","pos","order"
4609.74755859375,6148.92041015625,"4609.74755859375_6148.92041015625",9532
4512.01708984375,6252.9921875,"4512.01708984375_6252.9921875",25061
4401.36669921875,6376.74853515625,"4401.36669921875_6376.74853515625",23032
4362.81201171875,6466.974609375,"4362.81201171875_6466.974609375",23354
4227.60107421875,6551.02734375,"4227.60107421875_6551.02734375",2196
4108.63720703125,6610.46240234375,"4108.63720703125_6610.46240234375",22110
4055.341796875,6655.7607421875,"4055.341796875_6655.7607421875",23653
3958.33056640625,6664.2939453125,"3958.33056640625_6664.2939453125",9220
3806.65795898438,6707.2529296875,"3806.65795898438_6707.2529296875",7262
3653.36059570312,6801.1015625,"3653.36059570312_6801.1015625",10702
3553.9609375,6810.421875,"3553.9609375_6810.421875",21013
3389.4990234375,6890,"3389.4990234375_6890",8139
3305.77661132812,6860.8193359375,"3305.77661132812_6860.8193359375",9340
3224.2763671875,6859.5,"3224.2763671875_6859.5",22397
3082.99853515625,6871.85205078125,"3082.99853515625_6871.85205078125",22852
2924.75854492188,6799.3994140625,"2924.75854492188_6799.3994140625",29813
2787.27416992188,6779.86181640625,"2787.27416992188_6779.86181640625",14138
2596.00317382812,6776.46142578125,"2596.00317382812_6776.46142578125",29016
2493.43286132812,6761.19775390625,"2493.43286132812_6761.19775390625",6379
2335.09936523438,6717.09033203125,"2335.09936523438_6717.09033203125",28236
2203.3935546875,6664.0234375,"2203.3935546875_6664.0234375",22386
2118.03540039062,6646.7421875,"2118.03540039062_6646.7421875",33376
1960.18371582031,6548.81884765625,"1960.18371582031_6548.81884765625",28790
1864.23913574219,6512.060546875,"1864.23913574219_6512.060546875",25619
1824.83752441406,6435.4267578125,"1824.83752441406_6435.4267578125",6952
1733.89184570312,6338.18798828125,"1733.89184570312_6338.18798828125",27463
1672.77233886719,6266.84326171875,"1672.77233886719_6266.84326171875",23572
1629.53503417969,6208.69384765625,"1629.53503417969_6208.69384765625",22258
1545.91479492188,6075.796875,"1545.91479492188_6075.796875",12170
1500.29357910156,5941.23046875,"1500.29357910156_5941.23046875",35295
1459.18029785156,5869.01318359375,"1459.18029785156_5869.01318359375",19006
1425.38537597656,5791.33544921875,"1425.38537597656_5791.33544921875",17250
1391.796875,5715.07275390625,"1391.796875_5715.07275390625",34209
1348.93029785156,5604.37451171875,"1348.93029785156_5604.37451171875",6651
1338.1875,5501.193359375,"1338.1875_5501.193359375",20542
1328.99084472656,5337.48388671875,"1328.99084472656_5337.48388671875",28143
1321.92541503906,5312.9658203125,"1321.92541503906_5312.9658203125",19122
1301.10095214844,5113.150390625,"1301.10095214844_5113.150390625",25759
1288.54064941406,4978.70556640625,"1288.54064941406_4978.70556640625",29960
1307.12744140625,4890.19580078125,"1307.12744140625_4890.19580078125",18690
1315.05810546875,4756.076171875,"1315.05810546875_4756.076171875",34301
1318.71606445312,4591.59130859375,"1318.71606445312_4591.59130859375",12257
1322.07141113281,4498.41748046875,"1322.07141113281_4498.41748046875",9603
1330.8427734375,4349.69189453125,"1330.8427734375_4349.69189453125",31931
1381.37097167969,4215.04638671875,"1381.37097167969_4215.04638671875",27229
1417.50927734375,4131.30078125,"1417.50927734375_4131.30078125",24496
1436.19140625,3986.61059570312,"1436.19140625_3986.61059570312",22262
1457.64111328125,3878.19702148438,"1457.64111328125_3878.19702148438",9007
1510.08239746094,3783.4228515625,"1510.08239746094_3783.4228515625",6591
1543.74865722656,3679.01391601562,"1543.74865722656_3679.01391601562",573
1582.14294433594,3487.00610351562,"1582.14294433594_3487.00610351562",26
1666.93688964844,3263.53686523438,"1666.93688964844_3263.53686523438",21015
1707.12487792969,3126.09619140625,"1707.12487792969_3126.09619140625",17220
1772.43249511719,3022.78735351562,"1772.43249511719_3022.78735351562",1842
1812.34887695312,2838.65063476562,"1812.34887695312_2838.65063476562",23216
1874.52062988281,2716.37573242188,"1874.52062988281_2716.37573242188",16223
1941.07922363281,2563.66040039062,"1941.07922363281_2563.66040039062",10515
2001.6328125,2476.09301757812,"2001.6328125_2476.09301757812",8394
2001.662109375,2356.22875976562,"2001.662109375_2356.22875976562",16493
2097.62963867188,2210.67431640625,"2097.62963867188_2210.67431640625",26787
2177.23022460938,2148.24487304688,"2177.23022460938_2148.24487304688",3600
2217.68774414062,2024.5302734375,"2217.68774414062_2024.5302734375",22916
2294.73046875,1968.52099609375,"2294.73046875_1968.52099609375",8582
2363.65478515625,1937.33459472656,"2363.65478515625_1937.33459472656",19345
2467.015625,1805.43432617188,"2467.015625_1805.43432617188",9700
2530.45825195312,1772.11450195312,"2530.45825195312_1772.11450195312",21609
2634.78149414062,1729.46984863281,"2634.78149414062_1729.46984863281",26145
2722.97265625,1640.64721679688,"2722.97265625_1640.64721679688",18033
2778.45043945312,1590.8935546875,"2778.45043945312_1590.8935546875",9461
2924.85229492188,1513.82739257812,"2924.85229492188_1513.82739257812",14640
3011.94970703125,1497.5927734375,"3011.94970703125_1497.5927734375",27673
3112.509765625,1476.72680664062,"3112.509765625_1476.72680664062",25657
3262.8681640625,1461.53491210938,"3262.8681640625_1461.53491210938",26756
3361.01245117188,1428.04272460938,"3361.01245117188_1428.04272460938",34746
3438.26245117188,1415.23718261719,"3438.26245117188_1415.23718261719",8989
3539.71875,1436.65063476562,"3539.71875_1436.65063476562",34978
3692.78369140625,1409.39733886719,"3692.78369140625_1409.39733886719",28600
3825.7646484375,1430.78015136719,"3825.7646484375_1430.78015136719",30447
3930.7919921875,1419.54370117188,"3930.7919921875_1419.54370117188",10779
4082.7705078125,1493.36096191406,"4082.7705078125_1493.36096191406",30162
4266.61669921875,1493.88098144531,"4266.61669921875_1493.88098144531",22929
4353.951171875,1488.00305175781,"4353.951171875_1488.00305175781",32759
4471.154296875,1509.29016113281,"4471.154296875_1509.29016113281",3317
4633.32666015625,1584.07592773438,"4633.32666015625_1584.07592773438",22660
4752.232421875,1678.85729980469,"4752.232421875_1678.85729980469",29832
4854.00537109375,1726.85119628906,"4854.00537109375_1726.85119628906",12002
4938.9365234375,1801.52673339844,"4938.9365234375_1801.52673339844",2201
5170.28515625,1937.93493652344,"5170.28515625_1937.93493652344",14795
5281.6376953125,2036.5966796875,"5281.6376953125_2036.5966796875",24678
5387.24267578125,2095.01440429688,"5387.24267578125_2095.01440429688",34435
5650.55224609375,2323.90234375,"5650.55224609375_2323.90234375",19529
5704.37939453125,2416.20947265625,"5704.37939453125_2416.20947265625",31825
5772.7666015625,2545.6953125,"5772.7666015625_2545.6953125",30485
5862.2578125,2641.94116210938,"5862.2578125_2641.94116210938",4936
5890.14013671875,2771.11157226562,"5890.14013671875_2771.11157226562",28899
5950.927734375,2977.96215820312,"5950.927734375_2977.96215820312",23744
5978.92529296875,3060.88549804688,"5978.92529296875_3060.88549804688",6595
6012.7783203125,3193.78247070312,"6012.7783203125_3193.78247070312",5140
6052.142578125,3314.9384765625,"6052.142578125_3314.9384765625",32908
6044.3046875,3538.36083984375,"6044.3046875_3538.36083984375",10899
6049.24267578125,3667.84692382812,"6049.24267578125_3667.84692382812",27854
6084.79833984375,3827.7177734375,"6084.79833984375_3827.7177734375",10898
6082.208984375,4115.2236328125,"6082.208984375_4115.2236328125",26065
6053.34326171875,4364.22314453125,"6053.34326171875_4364.22314453125",15084
5951.51611328125,4625.39404296875,"5951.51611328125_4625.39404296875",13413
